হাউস ২৩৪/৩, শের ই বাংলা মেইন রোড, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৯৮/ডি, ট্যালি অফিস মেইন রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৪৪/এ, শের ই বাংলা মেইন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২০৬, সাত মসজিদ গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৯৪/২, রায়ের বাজার অল্টার গেট গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৩৪, শেরে বাংলা রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩২/২২, দেশনেএী সোসায়টি লেন (পারটেন গলি), রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৪৬, পাঠশালা গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৯৪, মুক্তি সিনেমা গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৭৯/এ, পূর্ব রায়ের বাজার রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৯৫/টিএ, সুলতানগজ্ঞ রোড (ট্যালি অফিস রোড), টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২১৭/ই, মাদ্রাসা গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫৫/২, ঘড়িঘর কমিশনার গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩৬/৩(বি), সাদেক খান রোড, শংকর, মোহাম্মদপুর, ঢাকা জেলা
হাউস ১১৭/এ, শের-ই-বাংলা মেইন রোড, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৩৬/সি/১, পান্থশালা রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১২৯/৩, শের-ই-বাংলা মেইন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৯৫, মুক্তি সিনেমা গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৮২/কেএইচএ, শাহ সাহেব বারি লেন, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২১৭/সি/৩, রায়ের বাজার রোড (মাদ্রাসা গলি), পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
