হাউস ২৩৫, ওল্ড ১৯/এ রোড (১০/এ), পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৩৪/৩, শের ই বাংলা মেইন রোড, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৭৩, কালাম বুলু ট্যানারি রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩০, হায়দার হোটেল গলি, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৯৮/ডি, ট্যালি অফিস মেইন রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১১০/২, হাজী আফসারুদ্দিন রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৪৪/এ, শের ই বাংলা মেইন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫৩, আল-মদিনা লেন, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস /৬/এ, মনেশ্বর রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪১/১২, হাজী আফসার উদ্দিন লেন, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬৮/১/বি, খায়রুন্নেছা রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪১/২৩/১, ৪১/২৩ রোড, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬/৩/এ, মনেশ্বর রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৩৪, শেরে বাংলা রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১০, মনেশ্বর রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৮/কেএ/১(বি), সনাতনগড়, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩১১, , জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৭০, মনেশ্বর রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৯৪, মুক্তি সিনেমা গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৫০, প্রাইভেট লেন, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৯৫/টিএ, সুলতানগজ্ঞ রোড (ট্যালি অফিস রোড), টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪১/৪, মনেশ্বর রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৩(এ), মনেশ্বর রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১(বি), বন্ধুমহল রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
