হাউস ২৬, হযরত নগর ১ নং লেন, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২৩৫, ওল্ড ১৯/এ রোড (১০/এ), পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৬৯, হযরত নগর রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ১১৮, নয়াগাও রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২৩৪/৩, শের ই বাংলা মেইন রোড, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৭৩, কালাম বুলু ট্যানারি রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৯৬, নয়াগাঁও চৌ রাস্তা রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৪৮৬, পূর্ব (ইস্ট) রাসুলপুর ৯ নং রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১০৬, আনসারি প্লাজা ১ নং। গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১২৯/ই, রোড ৯/এ, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৭০, লাইন নং ২ নওগাঁ, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ১১, গজমহল রোড চিপা গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪৭/১, নবাবগঞ্জ মেইন রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩০, হায়দার হোটেল গলি, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৮(বি), ওয়েস্ট  ধানমন্ডি জামে মসজিদ রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬৯৮, পচা পুকুর গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২৯৮/ডি, ট্যালি অফিস মেইন রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৭৮, হাসান নগর রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১৯১(এ), নবাবগঞ্জ মেইন রোড, কোম্পানি ঘাট, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪০/১/বি, মনেস্বর  লেন, মনেশ্বর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪৩/১৯, নবাবগঞ্জ রোড মদনাখাট, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ২৫, কুলাঙ্গার রোড, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৯৪, রোড ১১/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৪, রোড ১৩/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১, সেকশন ঢাল রোড(এম.সি.রায় রোড), হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩১৩, নয়াগাঁও চৌ রাস্তা রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২৫/১০, মুন্সিবাড়ি রোড, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৭, আমিন একাডেমী গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
