হাউস ২৩৫, ওল্ড ১৯/এ রোড (১০/এ), পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৩৪/৩, শের ই বাংলা মেইন রোড, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৮/৩, খন্দকার লেন, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১২৯/ই, রোড ৯/এ, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১১, রোড ১১, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৮(বি), ওয়েস্ট  ধানমন্ডি জামে মসজিদ রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৯৪, রোড ১১/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৪, রোড ১৩/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১১০/২, হাজী আফসারুদ্দিন রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২২৭/২/বি/১, ইস্তিয়া মঞ্জিল রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৩০, Road ১৯, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৭৩৬, এলইভিইএল-৮, সাতমসজিদ রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৮৯/১, রোড ১২/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৪৪/এ, শের ই বাংলা মেইন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২০৬, সাত মসজিদ গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৯৪/২, রায়ের বাজার অল্টার গেট গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৩৭/৩, হাজী আক্তার হোসেন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬৩, রোড ১৫/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৩৪, শেরে বাংলা রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৭, রোড ১১, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩১১, , জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৪৬, পাঠশালা গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৩৭/৬, হাজী আক্তার হোসেন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৮৩/২, শঙ্কর জাফরাবাদ রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৯৪, মুক্তি সিনেমা গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩৯/সি, কমিউনিটি সেন্টার গলি, শংকর, মোহাম্মদপুর, ঢাকা জেলা
হাউস ২৭১/২৫, ধলাই কারখান রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৭৯/এ, পূর্ব রায়ের বাজার রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২১৭/ই, মাদ্রাসা গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩২৭/১, পুল পাড় রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫৫/২, ঘড়িঘর কমিশনার গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২০, রোড ১৩/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৬/৩(বি), সাদেক খান রোড, শংকর, মোহাম্মদপুর, ঢাকা জেলা
হাউস ১১৭/এ, শের-ই-বাংলা মেইন রোড, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৮৪, Road ১৯, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৭১/৪০, এম শাখাওয়াত হোসেন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৩৬/সি/১, পান্থশালা রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১২৯/৩, শের-ই-বাংলা মেইন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৯৫, মুক্তি সিনেমা গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৮২/কেএইচএ, শাহ সাহেব বারি লেন, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২১৭/সি/৩, রায়ের বাজার রোড (মাদ্রাসা গলি), পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৯১, ডায়মন্ড হোটেল লেন, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১২৫, রোড ৯/এ, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৭৬, সাতমসজিদ রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৮৭/৩২,  সাত মস্ক গলি , পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২, সাতমসজিদ রোড, জাফরাবাদ, মোহাম্মদপুর, ঢাকা জেলা
হাউস ২৫৩/৪, নিমতলা -টেলি অফিস রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৭১/৩৮, এম শাখাওয়াত হোসেন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২১৩/এ(বি), সাত মসজিদ গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩০০(এ), বিজয় লেন, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১০৫, চেয়ারম্যান গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৮৮/সি,  সাত মস্ক গলি , পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৫৫, শের-ই-বাংলা মেইন রোড, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১১৫, রোড ৯/এ, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫৬/১, দুর্গা মন্দির গলি, শংকর, মোহাম্মদপুর, ঢাকা জেলা
হাউস ১৮৮/এ,  সাত মস্ক গলি , পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৯৪, মধু বাজার রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৮৮/এ, বেবি স্টোর লেন, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫১/২(বি), বৈশাখী রোড, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১১৬, রায়ের বাজার স্টাফ কোয়ার্টার রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৩৫/এ, পশ্চিম ধনমন্ডি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৭১/৩৭, এম শাখাওয়াত হোসেন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৭২, বাংলা সড়ক, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
